"anime_id","title","type","source","episodes","status","aired_string","aired","aired_year","duration","duration_minutes","rating","score","scored_by","rank","popularity","members","favorites","studio","genre","main_genre"
10470,"God Eater Prologue","Special","Game",1,"Finished Airing","Sep 28, 2009","{'from': '2009-09-28', 'to': '2009-09-28'}",2009,"12 min.",12,"R - 17+ (violence & profanity)",6.77,12438,4449,2342,25331,30,"ufotable","Action, Military, Sci-Fi, Fantasy","Action"
5928,"Kigyou Senshi Yamazaki: Long Distance Call","OVA","Manga",1,"Finished Airing","Oct 25, 1997","{'from': '1997-10-25', 'to': '1997-10-25'}",1997,"41 min.",41,"PG-13 - Teens 13 or older",5.68,34,10858,10656,268,0,"Ripple Film","Sci-Fi, Drama, Seinen","Sci-Fi"
4886,"InuYasha: Kuroi Tessaiga","Special","Other",1,"Finished Airing","Jul 30, 2008","{'from': '2008-07-30', 'to': '2008-07-30'}",2008,"30 min.",30,"PG-13 - Teens 13 or older",7.88,8331,737,2586,21280,73,"Sunrise","Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural","Adventure"
34225,"Ryuu no Me no Namida","OVA","Book",1,"Finished Airing","1981","{'from': None, 'to': None}",2003,"20 min.",20,"G - All Ages",5.67,3,11914,14088,41,0,"","Fantasy, Kids","Fantasy"
3215,"Fuyu no Hi","Movie","Other",1,"Finished Airing","Nov 22, 2003","{'from': '2003-11-22', 'to': '2003-11-22'}",2003,"39 min.",39,"R+ - Mild Nudity",6.2,1001,6747,6133,2797,5,"","Historical","Historical"
31056,"Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials","Special","Manga",5,"Finished Airing","Sep 25, 2015 to Jan 29, 2016","{'from': '2015-09-25', 'to': '2016-01-29'}",2015,"6 min. per ep.",6,"PG-13 - Teens 13 or older",7.1,7264,3202,2875,17210,17,"Silver Link.","Comedy, Magic, Ecchi","Comedy"
435,"Magic Knight Rayearth","TV","Manga",20,"Finished Airing","Oct 17, 1994 to Mar 13, 1995","{'from': '1994-10-17', 'to': '1995-03-13'}",1994,"24 min. per ep.",24,"PG-13 - Teens 13 or older",7.52,18745,1577,1757,40614,414,"Tokyo Movie Shinsha","Adventure, Comedy, Drama, Fantasy, Magic, Mecha, Romance, Shoujo","Adventure"
5953,"Mahou no Princess Minky Momo: Yume wo Dakishimete","TV","Original",62,"Finished Airing","Oct 2, 1991 to Dec 23, 1992","{'from': '1991-10-02', 'to': '1992-12-23'}",1991,"24 min. per ep.",24,"G - All Ages",6.78,328,4410,8053,1125,1,"Production Reed","Magic, Shoujo","Magic"
24985,"Elite Jack!!","OVA","Manga",6,"Finished Airing","Aug 2, 2014 to Dec 28, 2015","{'from': '2014-08-02', 'to': '2015-12-28'}",2014,"13 min. per ep.",13,"G - All Ages",7.44,9,10062,11156,209,2,"","School, Shoujo","School"
36470,"Tada-kun wa Koi wo Shinai","TV","Original",12,"Currently Airing","Apr 5, 2018 to ?","{'from': '2018-04-05', 'to': None}",2018,"23 min. per ep.",23,"PG-13 - Teens 13 or older",7.47,9721,1745,1156,71295,122,"Doga Kobo","Slice of Life, Comedy, Romance","Slice of Life"
